"STATION","NAME","DATE","ACMH","ACSH","AWND","DAEV","DAWM","EVAP","FMTM","FRGT","MDEV","MDWM","MNPN","MXPN","PGTM","PRCP","PSUN","SN12","SN32","SN52","SNOW","SNWD","SX12","SX32","SX52","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFI","WDFM","WDMV","WESD","WSF1","WSF2","WSF5","WSFG","WSFI","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-26",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"71","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-27",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"60","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-28",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"58","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-29",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"64","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-30",,,,,,,,,,,,,,"0.38",,,,,"0.0","0.0",,,,,"60","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-03-31",,,,,,,,,,,,,,"0.12",,,,,"0.0","0.0",,,,,"65","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-01",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"70","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-02",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"77","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-03",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"80","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-04",,,,,,,,,,,,,,"1.31",,,,,"0.0","0.0",,,,,"64","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-05",,,,,,,,,,,,,,"1.25",,,,,"0.0","0.0",,,,,"77","59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-06",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"75","59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-07",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"68","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-08",,,,,,,,,,,,,,"0.50",,,,,"0.0","0.0",,,,,"74","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-09",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"68","52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-10",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"65","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
